doc_id,Genre,Speaker,Side,Family,GDSTier,Stage,TermStatus,Year
2024-01-18_STRAT_CDDO_GenerativeAIFramework,STRAT,CDDO,Public,None,T1,,present,2024
2024-02-06_REG_DSIT_ProInnovationAIRegulation,REG,DSIT,Public,None,T3,,present,2024
2025-01-13_STRAT_DSIT_AIActionPlanGovResponse,STRAT,DSIT,Public,None,T2,,variant,2025
2026-01-29_STRAT_DSIT_AIActionPlanOneYearOn,STRAT,DSIT,Public,None,T2,,variant,2026
2025-01-12_PRGOV_PMO_BlueprintTurbochargeAI,PRGOV,PMO,Public,None,T3,,present,2025
2025-01-21_WMS_DSIT_BlueprintMinisterialStatement,WMS,DSIT,Public,None,T2,1,present,2025
2025-01-21_STRAT_GDS_StateOfDigitalGovReview,STRAT,DSIT_and_GDS,Public,None,T1,2,present,2025
2025-01-27_BLOG_GDS_SameNameNewAmbitions,BLOG,GDS,Public,None,T1,2,absent,2025
CONTEXT_2025-01-13_STRAT_DSIT_AIOpportunitiesActionPlan,STRAT,External_adviser,"Public, led by external actor",None,T3,,absent,2025
2025-02-10_STRAT_GDS_AIPlaybookUKGovernment,STRAT,GDS,Public,None,T1,,present,2025
2025-02-10_BLOG_GDS_LaunchingAIPlaybook,BLOG,GDS,Public,None,T1,2,absent,2025
2025-01-21_STRAT_GDS_BlueprintModernDigitalGov,STRAT,DSIT_and_GDS,Public,None,T1,,present,2025
2026-01-20_BLOG_GDS_OurRoadmapLaunch,BLOG,GDS,Public,None,T1,1,present,2026
2026-01-20_STRAT_GDS_RoadmapModernDigitalGov,STRAT,DSIT_and_GDS,Public,None,T1,1,present,2026
2026-01-19_WMS_DSIT_RoadmapMinisterialStatement,WMS,DSIT_and_GDS,Public,None,T1,,absent,2026
2026-01-27_PRGOV_DSIT_TopBritishAIExpertise,PRGOV,DSIT,Public,None,T3,1,present,2026
2025-08-18_BLOG_GDS_AIExemplarsProgramme,BLOG,GDS,Public,None,T1,,present,2025
2025-02-14_MOU_Anthropic_AIOpportunities,MOU,DSIT_and_Anthropic,Private (partnership),Anthropic,T3,2,absent,2025
2025-02-14_PRCO_Anthropic_SignsMOUUKGov,PRCO,Anthropic,Private,Anthropic,T3,,absent,2025
2026-01-27_PRCO_Anthropic_GOVUKPartnership,PRCO,Anthropic,Private,Anthropic,T2,,variant,2026
2025-06-16_MOU_Cohere_AIOpportunities,MOU,DSIT_and_Cohere,Private (partnership),Cohere,T2,2,absent,2025
2025-06-15_PRCO_Cohere_CanadaUKPartnerships,PRCO,Cohere,Private,Cohere,T3,,absent,2025
2025-07-21_MOU_OpenAI_AIOpportunities,MOU,DSIT_and_OpenAI,Private (partnership),OpenAI,T3,2,absent,2025
2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,PRGOV,DSIT,Public,OpenAI,T3,2,absent,2025
2025-07-21_PRCO_OpenAI_StrategicPartnership,PRCO,OpenAI,Private,OpenAI,T3,,absent,2025
2025-10-22_PRCO_OpenAI_NextChapterSovereignAI,PRCO,OpenAI,Private,OpenAI,T3,,absent,2025
2025-09-16_PRCO_OpenAI_StargateUK,PRCO,OpenAI,Private,OpenAI,T3,,absent,2025
2025-12-11_MOU_DeepMind_AIOpportunitiesSecurity,MOU,DSIT_and_DeepMind,Private (partnership),DeepMind,T2,2,absent,2025
2025-12-11_PRGOV_DSIT_NationalRenewalDeepMind,PRGOV,DSIT,Public,DeepMind,T3,1,present,2025
2025-12-11_PRCO_DeepMind_DeepeningAISIPartnership,PRCO,DeepMind,Private,DeepMind,T3,,absent,2025
2025-12-10_PRCO_DeepMind_StrengtheningPartnership,PRCO,DeepMind,Private,DeepMind,T2,,variant,2025
2026-06-08_MOU_ElevenLabs_AIOpportunities,MOU,DSIT_and_ElevenLabs,Private (partnership),ElevenLabs,T2,2,absent,2026
2026-02-18_PRCO_ElevenLabs_UKAISIPartnership,PRCO,ElevenLabs,Private,ElevenLabs,T3,,absent,2026
2026-06-08_PRCO_ElevenLabs_UKMOUExpansion,PRCO,ElevenLabs,Private,ElevenLabs,T3,,absent,2026
2025-02-14_PRGOV_DSIT_TacklingAISecurityRisks,PRGOV,DSIT,Public,None,T3,1,absent,2025
