doc_id,excel_row,date,genre,actor_raw,speaker,side,family,gds_tier,stage,term_status,url,archive_url,corpus_version,is_context,fetch_status
2024-01-18_STRAT_CDDO_GenerativeAIFramework,2,2024-01-18,STRAT,Central Digital and Data Office (CDDO) NOT GDS at this date,CDDO,Public,None,,,present,https://assets.publishing.service.gov.uk/media/65c3b5d628a4a00012d2ba5c/6.8558_CO_Generative_AI_Framework_Report_v7_WEB.pdf,,1,False,pending
2024-02-06_REG_DSIT_ProInnovationAIRegulation,3,2024-02-06,REG,"Department for Science, Innovation and Technology (DSIT)",DSIT,Public,None,,,present,https://assets.publishing.service.gov.uk/media/65c1e399c43191000d1a45f4/a-pro-innovation-approach-to-ai-regulation-amended-governement-response-web-ready.pdf,,1,False,pending
2025-01-13_STRAT_DSIT_AIActionPlanGovResponse,4,2025-01-13,STRAT,"Department for Science, Innovation and Technology (DSIT)",DSIT,Public,None,,,check,https://www.gov.uk/government/publications/ai-opportunities-action-plan-government-response/ai-opportunities-action-plan-government-response,,1,False,pending
2026-01-29_STRAT_DSIT_AIActionPlanOneYearOn,5,2026-01-29,STRAT,"Department for Science, Innovation and Technology (DSIT)",DSIT,Public,None,,,check,https://www.gov.uk/government/publications/ai-opportunities-action-plan-one-year-on/ai-opportunities-action-plan-one-year-on,,1,False,pending
2025-01-12_PRGOV_PMO_BlueprintTurbochargeAI,6,2025-01-12,PRGOV,"Prime Minister's Office, 10 Downing Street, and DSIT",PMO,Public,None,,,check,https://www.gov.uk/government/news/prime-minister-sets-out-blueprint-to-turbocharge-ai,,1,False,pending
2025-01-21_WMS_DSIT_BlueprintMinisterialStatement,7,2025-01-21,WMS,DSIT minister (House of Commons),DSIT,Public,None,,1,present,https://questions-statements.parliament.uk/written-statements/detail/2025-01-21/hcws375,,1,False,pending
2025-01-21_STRAT_GDS_StateOfDigitalGovReview,8,2025-01-21,STRAT,"Department for Science, Innovation and Technology (DSIT) and Government Digital Service (GDS)",DSIT_and_GDS,Public,None,,2,check,https://www.gov.uk/government/publications/state-of-digital-government-review,,1,False,pending
2025-01-27_BLOG_GDS_SameNameNewAmbitions,9,2025-01-27,BLOG,"Joanna Davinson, Government Chief Digital Officer, GDS",GDS,Public,None,,2,absent,https://gds.blog.gov.uk/2025/01/27/same-name-new-ambitions/,,1,False,pending
CONTEXT_2025-01-13_STRAT_DSIT_AIOpportunitiesActionPlan,10,2025-01-13,STRAT,"Matt Clifford (UK Prime Minister’s Adviser on AI (2024–2025: https://www.gov.uk/government/news/appointment-of-matt-clifford-cbe-as-the-ai-opportunities-adviser), CBE for services to AI) commissioned by the DSIT Secretary of State and they supported him",External_adviser,"Public, led by external actor",None,,,check,https://www.gov.uk/government/publications/ai-opportunities-action-plan,,1,True,pending
2025-02-10_STRAT_GDS_AIPlaybookUKGovernment,11,2025-02-10,STRAT,Government Digital Service (GDS),GDS,Public,None,,,variant,https://www.gov.uk/government/publications/ai-playbook-for-the-uk-government/artificial-intelligence-playbook-for-the-uk-government-html,,1,False,pending
2025-02-10_BLOG_GDS_LaunchingAIPlaybook,12,2025-02-10,BLOG,Government Digital Service (GDS),GDS,Public,None,,2,check,https://gds.blog.gov.uk/2025/02/10/launching-the-artificial-intelligence-playbook-for-the-uk-government/,,1,False,pending
2025-01-21_STRAT_GDS_BlueprintModernDigitalGov,13,2025-01-21,STRAT,"DSIT and Government Digital Service (GDS), the digital centre, named as GDS in this document",DSIT_and_GDS,Public,None,,,check,https://assets.publishing.service.gov.uk/media/678f6665f4ff8740d978864c/a-blueprint-for-modern-digital-government-web-optimised.pdf,,1,False,pending
2026-01-20_BLOG_GDS_OurRoadmapLaunch,14,2026-01-20,BLOG,"GDS: Emily Middleton, Director General for Digital Transformation, and Christine Bellamy, Director General, Digital Products Group",GDS,Public,None,,1,present,https://gds.blog.gov.uk/2026/01/20/our-roadmap-for-modern-digital-government/,https://web.archive.org/web/20260420013346/https://gds.blog.gov.uk/2026/01/20/our-roadmap-for-modern-digital-government/,1,False,pending
2026-01-20_STRAT_GDS_RoadmapModernDigitalGov,15,2026-01-20,STRAT,Government Digital Service (GDS) and DSIT,DSIT_and_GDS,Public,None,,1,present,https://roadmap-for-modern-digital-government.campaign.gov.uk/,https://web.archive.org/web/20260630083247/https://roadmap-for-modern-digital-government.campaign.gov.uk/,1,False,pending
2026-01-19_WMS_DSIT_RoadmapMinisterialStatement,16,2026-01-19,WMS,"DSIT minister (House of Commons), on behalf of DSIT and GDS",DSIT_and_GDS,Public,None,,,check,https://commonsbusiness.parliament.uk/Document/101491/Pdf,,1,False,pending
2026-01-27_PRGOV_DSIT_TopBritishAIExpertise,17,2026-01-27,PRGOV,"Department for Science, Innovation and Technology (DSIT)",DSIT,Public,None,,1,present,https://www.gov.uk/government/news/top-british-ai-expertise-to-help-spark-renewal-of-public-services-and-bolster-national-security,,1,False,pending
2025-08-18_BLOG_GDS_AIExemplarsProgramme,18,2025-08-18,BLOG,Government Digital Service (GDS),GDS,Public,None,,,check,https://gds.blog.gov.uk/2025/08/18/the-prime-ministers-ai-exemplars-programme-a-portfolio-approach-to-public-sector-innovation/,,1,False,pending
2025-02-14_MOU_Anthropic_AIOpportunities,19,2025-02-14,MOU,"DSIT (Rt Hon Peter Kyle MP, Secretary of State) & Anthropic (Dario Amodei, CEO)",DSIT_and_Anthropic,Private (partnership),Anthropic,,2,absent,https://www.gov.uk/government/publications/memorandum-of-understanding-between-the-uk-and-anthropic-on-ai-opportunities/memorandum-of-understanding-between-uk-and-anthropic-on-ai-opportunities,,1,False,pending
2025-02-14_PRCO_Anthropic_SignsMOUUKGov,20,2025-02-14,PRCO,Anthropic,Anthropic,Private,Anthropic,,,check,https://www.anthropic.com/news/mou-uk-government,,1,False,pending
2026-01-27_PRCO_Anthropic_GOVUKPartnership,21,2026-01-27,PRCO,Anthropic,Anthropic,Private,Anthropic,,,present,https://www.anthropic.com/news/gov-UK-partnership,,1,False,pending
2025-06-16_MOU_Cohere_AIOpportunities,22,2025-06-16,MOU,"DSIT (Rt Hon Peter Kyle MP, Secretary of State) & Cohere (Aidan Gomez, CEO)",DSIT_and_Cohere,Private (partnership),Cohere,,2,absent,https://www.gov.uk/government/publications/memorandum-of-understanding-between-the-uk-and-cohere-on-ai-opportunities/memorandum-of-understanding-between-uk-and-cohere-on-ai-opportunities,,1,False,pending
2025-06-15_PRCO_Cohere_CanadaUKPartnerships,23,2025-06-15,PRCO,Cohere,Cohere,Private,Cohere,,,check,https://cohere.com/blog/canada-uk-government-partnerships,,1,False,pending
2025-07-21_MOU_OpenAI_AIOpportunities,24,2025-07-21,MOU,"DSIT (Rt Hon Peter Kyle MP, Secretary of State) & OpenAI (Sam Altman, CEO)",DSIT_and_OpenAI,Private (partnership),OpenAI,,2,absent,https://www.gov.uk/government/publications/memorandum-of-understanding-between-the-uk-and-openai-on-ai-opportunities/memorandum-of-understanding-between-uk-and-openai-on-ai-opportunities,,1,False,pending
2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,25,2025-07-21,PRGOV,"DSIT (Rt Hon Peter Kyle MP, Secretary of State)",DSIT,Public,OpenAI,,2,absent,https://www.gov.uk/government/news/openai-to-expand-uk-office-and-work-with-government-departments-to-turbocharge-the-uks-ai-infrastructure-and-transform-public-services,,1,False,pending
2025-07-21_PRCO_OpenAI_StrategicPartnership,26,2025-07-21,PRCO,OpenAI,OpenAI,Private,OpenAI,,,check,https://openai.com/global-affairs/openai-and-uk-government-partnership/,,1,False,pending
2025-10-22_PRCO_OpenAI_NextChapterSovereignAI,27,2025-10-22,PRCO,OpenAI,OpenAI,Private,OpenAI,,,check,https://openai.com/index/the-next-chapter-for-uk-sovereign-ai/,,1,False,pending
2025-09-16_PRCO_OpenAI_StargateUK,28,2025-09-16,PRCO,OpenAI,OpenAI,Private,OpenAI,,,check,https://openai.com/index/introducing-stargate-uk/,,1,False,pending
2025-12-11_MOU_DeepMind_AIOpportunitiesSecurity,29,2025-12-11,MOU,"DSIT (Rt Hon Liz Kendall MP, Secretary of State) & Google DeepMind (Demis Hassabis, CEO)",DSIT_and_DeepMind,Private (partnership),DeepMind,,2,absent,https://www.gov.uk/government/publications/memorandum-of-understanding-between-the-uk-and-google-deepmind-on-ai-opportunities-and-security/memorandum-of-understanding-between-the-uk-and-google-deepmind-on-ai-opportunities-and-security,,1,False,pending
